run_label,pair_seed,pair_role,pair_role_label,task_key,task_name,mem_distribution_family,checkpoint,checkpoint_name,hidden_tau_syn_ms,hidden_tau_mem_geom_mean_ms,final_test_acc,final_test_loss,subset_size,W_bits,M_bits,samples,lag,stride,optimiser,indices,error,data_kind
seeded_run_1,202,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_hom_geommean_lognormal.pt,2class_seed202_hom_geommean_lognormal.pt,10.0,29.30836270998413,0.7795936395759717,0.5102607198059559,2,0.42082787404054917,0.08517659492430035,128000,1,1,Adam(data),"0,31",,recurrent_spike_trains
seeded_run_1,202,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_hom_geommean_lognormal.pt,2class_seed202_hom_geommean_lognormal.pt,10.0,29.30836270998413,0.7795936395759717,0.5102607198059559,4,3.2449738159589994,0.0826448676318301,128000,1,1,"Adam(distr,ridge=0.01)","0,10,20,31",,recurrent_spike_trains
seeded_run_1,202,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_hom_geommean_lognormal.pt,2class_seed202_hom_geommean_lognormal.pt,10.0,29.30836270998413,0.7795936395759717,0.5102607198059559,8,0.9126472626522011,0.19422128313933884,128000,1,1,Adam(data),"0,4,8,13,17,22,26,31",,recurrent_spike_trains
seeded_run_1,202,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_hom_geommean_lognormal.pt,2class_seed202_hom_geommean_lognormal.pt,10.0,29.30836270998413,0.7795936395759717,0.5102607198059559,16,2.765028367536892,0.8871641878489473,128000,1,1,"Adam(distr,ridge=0.05)","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,31",,recurrent_spike_trains
seeded_run_1,202,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_hom_geommean_lognormal.pt,2class_seed202_hom_geommean_lognormal.pt,10.0,29.30836270998413,0.7795936395759717,0.5102607198059559,32,3.3842003071731757,1.8462518422240528,128000,1,1,"Adam(distr,ridge=0.05)","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",,recurrent_spike_trains
seeded_run_1,210,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed210_het_lognormal.pt,2class_seed210_het_lognormal.pt,10.0,22.405558223987068,0.8012367491166078,0.4784894175827503,2,0.11295815134211432,1.6364844050487104e-05,128000,1,1,Adam(data),"0,31",,recurrent_spike_trains
seeded_run_1,210,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed210_het_lognormal.pt,2class_seed210_het_lognormal.pt,10.0,22.405558223987068,0.8012367491166078,0.4784894175827503,4,1.3557928093472642,0.01779390046042084,128000,1,1,Adam(data),"0,10,20,31",,recurrent_spike_trains
seeded_run_1,210,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed210_het_lognormal.pt,2class_seed210_het_lognormal.pt,10.0,22.405558223987068,0.8012367491166078,0.4784894175827503,8,1.2021106603801162,0.12473892566665801,128000,1,1,Adam(data),"0,4,8,13,17,22,26,31",,recurrent_spike_trains
seeded_run_1,210,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed210_het_lognormal.pt,2class_seed210_het_lognormal.pt,10.0,22.405558223987068,0.8012367491166078,0.4784894175827503,16,3.959714794853237,0.7712283093404255,128000,1,1,"Adam(distr,ridge=0.05)","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,31",,recurrent_spike_trains
seeded_run_1,210,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed210_het_lognormal.pt,2class_seed210_het_lognormal.pt,10.0,22.405558223987068,0.8012367491166078,0.4784894175827503,32,6.030085973498348,1.8335830263194675,128000,1,1,"Adam(distr,ridge=0.05)","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",,recurrent_spike_trains
