network,subset_size,replicate,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,z,p_upper,n_null_valid,n_attempts
2class_local_hom,8,2,10,28,4,16.0,0.1448863258645664,0.0,0.1448863258645664,0.14488632586103195,-2.0447268787544792,1.0,10,10
2class_local_hom,8,2,12,15,4,16.0,0.012911445048380626,-0.00010262110950856607,0.01280882393887206,0.012808823507486876,-3.954789739370366,1.0,10,10
2class_local_hom,8,2,12,17,4,16.0,0.00822566108490791,0.0,0.00822566108490791,0.008225661060327969,-0.9824244640212625,1.0,10,10
2class_local_hom,8,2,12,20,4,16.0,0.02014748169544467,0.0009451759059160847,0.021092657601360754,0.0210926556345526,-1.772107696855984,1.0,10,10
2class_local_hom,8,2,12,26,4,16.0,0.15295048068145256,0.001003696155285283,0.15395417683673784,0.15395417557727822,-2.1572398876877705,1.0,10,10
2class_local_hom,8,2,12,28,4,16.0,0.00822566108490791,0.0,0.00822566108490791,0.008225661060327969,-1.6365398877399362,1.0,10,10
2class_local_hom,8,2,15,17,4,16.0,0.004545733380890309,0.0,0.004545733380890309,0.004545733261508277,-1.064522234375283,1.0,10,10
2class_local_hom,8,2,15,20,4,16.0,0.016773842079376988,5.887284043060159e-05,0.01683271491980759,0.016832713455579143,-2.6153556989983797,1.0,10,10
2class_local_hom,8,2,15,26,4,16.0,0.14896884851533865,0.0007690990404969344,0.14973794755583558,0.14973794617085237,-1.7669752351252228,1.0,10,10
2class_local_hom,8,2,15,28,4,16.0,0.004545733380890309,0.0,0.004545733380890309,0.004545733261508277,-1.2243306021922322,1.0,10,10
2class_local_hom,8,2,17,20,4,16.0,0.012187481508723619,0.0,0.012187481508723619,0.012187481369594758,-1.5211450727681881,1.0,10,10
2class_local_hom,8,2,17,26,4,16.0,0.14469090064414836,0.0,0.14469090064414836,0.1446909006424225,-1.8865575752596206,1.0,10,10
2class_local_hom,8,2,17,28,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-1.0526380089980225,1.0,10,10
2class_local_hom,8,2,20,26,4,16.0,0.15655801495312072,0.0006067898849433373,0.15716480483806405,0.15716480310246345,-1.9043537680729485,1.0,10,10
2class_local_hom,8,2,20,28,4,16.0,0.012187481508723619,0.0,0.012187481508723619,0.012187481369594758,-1.6060447167646223,1.0,10,10
2class_local_hom,8,2,26,28,4,16.0,0.14469090064414836,0.0,0.14469090064414836,0.1446909006424225,-2.0907788305261916,1.0,10,10
2class_local_hom,8,3,0,2,4,16.0,0.08631456584967445,0.0,0.08631456584967445,0.08631456583208716,-1.8480330560996265,1.0,10,10
2class_local_hom,8,3,0,3,4,16.0,0.16486647844835212,6.017550940373706e-05,0.16492665395775585,0.16492665348477653,-2.1538897480348456,1.0,10,10
2class_local_hom,8,3,0,5,4,16.0,0.10225019077713504,-3.956734307763998e-05,0.1022106234340574,0.10221062309152498,-1.5169525254280285,1.0,10,10
2class_local_hom,8,3,0,8,4,16.0,0.4868864530341481,0.0033447159487733913,0.4902311689829215,0.49023116770905256,-2.1829680388631885,1.0,10,10
2class_local_hom,8,3,0,19,4,16.0,0.10921910297055226,5.816470432906673e-05,0.10927726767488133,0.10927726734150342,-3.2673774447542003,1.0,10,10
2class_local_hom,8,3,0,21,4,16.0,0.08642188312839888,-3.69595961937641e-05,0.08638492353220512,0.08638492208963464,-2.596839145101207,1.0,10,10
2class_local_hom,8,3,0,23,4,16.0,0.09613181120131015,0.010193531147426216,0.10632534234873636,0.10632534074928168,-1.7780166495286343,1.0,10,10
2class_local_hom,8,3,2,3,4,16.0,0.07894724130227188,0.0,0.07894724130227188,0.07894724127726847,-2.372770424143133,1.0,10,10
2class_local_hom,8,3,2,5,4,16.0,0.015777317110638067,0.0,0.015777317110638067,0.015777317073679662,-1.6265217902597098,1.0,10,10
2class_local_hom,8,3,2,8,4,16.0,0.4391320198608979,0.0,0.4391320198608979,0.43913201985960704,-2.2399867425986617,1.0,10,10
2class_local_hom,8,3,2,19,4,16.0,0.022757373829548733,0.0,0.022757373829548733,0.02275737377944729,-2.3032849358882266,1.0,10,10
2class_local_hom,8,3,2,21,4,16.0,6.623791497906541e-05,0.0,6.623791497906541e-05,6.623663438034874e-05,-0.7655978824750852,1.0,10,10
2class_local_hom,8,3,2,23,4,16.0,0.021261918147470527,0.0,0.021261918147470527,0.0212619180485904,-3.0213067607247845,1.0,10,10
2class_local_hom,8,3,3,5,4,16.0,0.09459498651677245,0.0017082137244947004,0.09630320024126715,0.09630319864527118,-1.6447670075423657,1.0,10,10
2class_local_hom,8,3,3,8,4,16.0,0.48725464877613067,0.007392634446161006,0.4946472832222917,0.4946472819787176,-2.081668690101092,1.0,10,11
2class_local_hom,8,3,3,19,4,16.0,0.10136066525754783,0.0015156390259335462,0.10287630428348138,0.10287630264396228,-1.4743149783008367,0.9090909090909091,10,10
2class_local_hom,8,3,3,21,4,16.0,0.07899615703231888,0.00016015095973065385,0.07915630799204953,0.07915630049549213,-1.9250659047747845,1.0,10,10
2class_local_hom,8,3,3,23,4,16.0,0.10024258507108774,-1.1439704602600465e-05,0.10023114536648514,0.10023114509827714,-3.165755710523223,1.0,10,10
2class_local_hom,8,3,5,8,4,16.0,0.4546773208691337,0.0014620697677161232,0.45613939063684983,0.4561393891451523,-1.65612500005145,1.0,10,10
2class_local_hom,8,3,5,19,4,16.0,0.031165122688983415,0.00472024378330016,0.035885366472283575,0.03588536495972951,-0.9339377884564596,0.7272727272727273,10,10
2class_local_hom,8,3,5,21,4,16.0,0.015871909253973526,0.000211066988662717,0.016082976242636243,0.016082967979874206,-1.8098545115788949,1.0,10,10
2class_local_hom,8,3,5,23,4,16.0,0.037132577049129034,-2.980790272399947e-05,0.037102769146405035,0.03710276886626526,-2.2621799740867643,1.0,10,10
